review_id,review,rating,date,bank,source,replyContent,repliedAt,thumbsUpCount,app_id
f618ad43-dbd4-487a-b1cf-e3e3e6d93dbb,good,5,2026-03-22,CBE,Google Play,,,0,com.combanketh.mobilebanking
b780110f-c277-4c37-8497-71b6bc7024b6,CBE is my beast one for any transactions,5,2026-03-22,CBE,Google Play,,,0,com.combanketh.mobilebanking
e5851983-37ab-4b1b-b945-158cc09d6c1e,very good,5,2026-03-22,CBE,Google Play,,,0,com.combanketh.mobilebanking
0b2d535b-2e6d-4008-ab95-37a21c428dfe,I Am Proud Of CBE Period!!!,5,2026-03-22,CBE,Google Play,,,0,com.combanketh.mobilebanking
bc9503fe-36c1-4968-9306-ca923f6f1d9a,Ebrahim muhamad omar,5,2026-03-22,CBE,Google Play,,,0,com.combanketh.mobilebanking
1d36e835-d855-4b57-832d-eee46ccc0d30,M doubloons sffggfdeefg Dffffffdq2sffffff,5,2026-03-21,CBE,Google Play,,,0,com.combanketh.mobilebanking
ce97d95e-1f38-4289-8b95-6f5ff52009ca,digital banking,5,2026-03-21,CBE,Google Play,,,0,com.combanketh.mobilebanking
a3a8098a-6090-4f71-bc98-0d0c10a03828,it is very good service you are giving,5,2026-03-21,CBE,Google Play,,,0,com.combanketh.mobilebanking
266ab464-1be3-4b84-a17f-871d945a2948,ps fast and easy,5,2026-03-21,CBE,Google Play,,,0,com.combanketh.mobilebanking
a2f8bd7d-012a-4509-b2b2-f3a62934fbd7,nice app for me,3,2026-03-21,CBE,Google Play,,,0,com.combanketh.mobilebanking
ee70f343-8b30-4354-9225-a1a2d7e96c38,vibe,4,2026-03-21,CBE,Google Play,,,0,com.combanketh.mobilebanking
7d3f7f6a-7075-4d17-9ce4-c68e10508eaa,Tajajilli keessan dubati Hafadha አገልግሎታችሁን ዱባቲ ሀፋድህን አቆይ Your service will stay behind,1,2026-03-21,CBE,Google Play,,,0,com.combanketh.mobilebanking
34115524-a7e4-4f0a-b1d9-d1c1894d3b90,mobayelbanekgng,5,2026-03-21,CBE,Google Play,,,0,com.combanketh.mobilebanking
5d863609-c7e8-4dcc-8dd1-4dd4e354e18b,ገላግሌ ብየዋለው ጥድት ያለ አፕ,5,2026-03-20,CBE,Google Play,,,0,com.combanketh.mobilebanking
d07e2804-de78-49a9-a73e-24612e86b874,best app i like it,5,2026-03-20,CBE,Google Play,,,1,com.combanketh.mobilebanking
a0bb1280-04fd-4e3c-8242-728cd9ad0d58,it is really very poor application. i've ever experienced.,1,2026-03-20,CBE,Google Play,,,0,com.combanketh.mobilebanking
74ea6412-b96d-453d-9f32-c2288eeff6c8,wow ✌️,5,2026-03-19,CBE,Google Play,,,0,com.combanketh.mobilebanking
c0013711-a9c4-4ac9-8124-72bc0b20841f,EASY & SIMLPE TO MANIPULATE. COGRATS !!,4,2026-03-19,CBE,Google Play,,,0,com.combanketh.mobilebanking
5a954f00-75f7-4b43-9986-74bdd9c588fd,zewediesh,4,2026-03-19,CBE,Google Play,,,0,com.combanketh.mobilebanking
1d3b00e1-ed77-4771-ae4b-b99616edfa3c,nice app,4,2026-03-19,CBE,Google Play,,,0,com.combanketh.mobilebanking
ea7332f7-f713-443a-9fed-2f623a7fd4df,Perfect App,5,2026-03-19,CBE,Google Play,,,0,com.combanketh.mobilebanking
79488558-3eea-4cb2-8fff-4c95b6b9bd5b,🆗 g,5,2026-03-19,CBE,Google Play,,,0,com.combanketh.mobilebanking
